fid,Total Population,Total Households,Average Household Size
655334,10382,2651,3.92
655335,5693,1454,3.92
655336,3697,944,3.92
655337,1422,385,3.69
655338,845,233,3.63
655339,289,80,3.61
656955,278,74,3.76
656956,2400,667,3.6
656957,5825,1620,3.6
656958,1650,459,3.59
656959,0,0,0
656960,4333,1347,3.22
656961,3496,1086,3.22
656962,1493,464,3.22
656963,3784,1176,3.22
656964,1974,614,3.21
656965,11928,3707,3.22
656966,15978,4945,3.23
656967,9877,3068,3.22
656968,7501,2331,3.22
656969,8874,2758,3.22
656970,4595,1428,3.22
656971,2545,791,3.22
656972,1544,480,3.22
656973,6839,1793,3.81
656974,13600,3473,3.92
656975,15168,3873,3.92
656976,11848,3026,3.92
656977,1657,423,3.92
656978,1672,427,3.92
656979,427,109,3.92
656980,264,73,3.62
656981,1339,369,3.63
656982,2984,823,3.63
658596,226,63,3.59
658597,3074,855,3.6
658598,5076,1412,3.59
658599,5757,1601,3.6
658600,3847,1070,3.6
658601,1069,332,3.22
658602,12273,3814,3.22
658603,10453,3249,3.22
658604,11518,3579,3.22
658605,3011,936,3.22
658606,4618,1435,3.22
658607,11358,3478,3.27
658608,16780,4867,3.45
658609,17989,5549,3.24
658610,10654,3311,3.22
658611,9752,3031,3.22
658612,7917,2461,3.22
658613,2537,788,3.22
658614,1355,413,3.28
658615,12456,3202,3.89
658616,14667,3746,3.92
658617,15027,3837,3.92
658618,9441,2411,3.92
658619,2388,610,3.91
658620,996,254,3.92
658621,285,73,3.9
658622,158,44,3.59
658623,53,15,3.53
658624,0,0,0
660238,2030,564,3.6
660239,2747,764,3.6
660240,2983,830,3.59
660241,6080,1691,3.6
660242,3092,860,3.6
660243,1676,519,3.23
660244,11843,3681,3.22
660245,6438,2001,3.22
660246,5558,1727,3.22
660247,12733,3957,3.22
660248,18148,5640,3.22
660249,16807,5081,3.31
660250,19093,5520,3.46
660251,18131,5358,3.38
660252,8108,2468,3.29
660253,15041,4666,3.22
660254,11328,3520,3.22
660255,5389,1675,3.22
660256,7833,2189,3.58
660257,15447,3947,3.91
660258,17078,4361,3.92
660259,10505,2683,3.92
660260,4009,1024,3.92
660261,498,127,3.92
660262,470,122,3.85
660263,124,33,3.76
660264,211,58,3.64
660265,53,15,3.53
660266,53,15,3.53
660267,695,191,3.64
661880,947,263,3.6
661881,1894,527,3.59
661882,1382,384,3.6
661883,3663,1019,3.59
661884,2617,728,3.59
661885,589,181,3.25
661886,12346,3742,3.3
661887,11391,3522,3.23
661888,15867,4931,3.22
661889,7666,2382,3.22
661890,8960,2785,3.22
661891,19384,5819,3.33
661892,19305,5581,3.46
661893,16410,4744,3.46
661894,16865,4876,3.46
661895,17842,5242,3.4
661896,12075,3584,3.37
661897,9785,2973,3.29
661898,13920,4216,3.3
661899,16354,4176,3.92
661900,9929,2579,3.85
661901,10514,2744,3.83
661902,5443,1394,3.9
661903,3405,876,3.89
661904,1009,272,3.71
661905,0,0,0
661906,254,71,3.58
661907,106,29,3.66
661908,0,0,0
661909,0,0,0
663521,226,63,3.59
663522,1759,489,3.6
663523,2436,677,3.6
663524,1591,442,3.6
663525,1083,301,3.6
663526,1705,474,3.6
663527,568,155,3.66
663528,11324,3014,3.76
663529,6073,1770,3.43
663530,12721,3885,3.27
663531,4744,1473,3.22
663532,1009,269,3.75
663533,17463,4999,3.49
663534,18742,5418,3.46
663535,25081,7096,3.53
663536,28475,7904,3.6
663537,22054,6343,3.48
663538,20300,5747,3.53
663539,31023,8534,3.64
663540,25751,7176,3.59
663541,19715,5481,3.6
663542,9975,2815,3.54
663543,10372,2906,3.57
663544,4449,1226,3.63
663545,96,27,3.56
663546,505,142,3.56
663547,428,118,3.63
663548,0,0,0
663549,381,106,3.59
663550,0,0,0
663551,422,116,3.64
665163,1105,307,3.6
665164,158,44,3.59
665165,712,198,3.6
665166,2016,560,3.6
665167,226,63,3.59
665168,480,133,3.61
665169,0,0,0
665170,9991,2659,3.76
665171,2091,557,3.75
665172,10179,2709,3.76
665173,10351,2767,3.74
665174,12807,3500,3.66
665175,19541,5330,3.67
665176,22644,6195,3.66
665177,25428,6872,3.7
665178,31605,8557,3.69
665179,33264,9107,3.65
665180,23501,6528,3.6
665181,28456,7808,3.64
665182,25074,6884,3.64
665183,10935,3067,3.57
665184,759,215,3.53
665185,2666,754,3.54
665186,10423,2947,3.54
665187,383,108,3.55
665188,192,54,3.56
665189,0,0,0
665190,0,0,0
665191,53,15,3.53
665192,53,15,3.53
665193,0,0,0
666805,3389,942,3.6
666806,2059,573,3.59
666807,1001,278,3.6
666808,1868,520,3.59
666809,1489,414,3.6
666810,361,100,3.61
666811,2113,588,3.59
666812,7496,1998,3.75
666813,12067,3212,3.76
666814,5136,1367,3.76
666815,1562,416,3.75
666816,1182,315,3.75
666817,6488,1727,3.76
666818,22045,5943,3.71
666819,25172,6797,3.7
666820,24881,6723,3.7
666821,35675,9662,3.69
666822,31421,8548,3.68
666823,30214,8290,3.64
666824,20132,5531,3.64
666825,19155,5378,3.56
666826,6588,1868,3.53
666827,10156,2878,3.53
666828,5902,1670,3.53
666829,1331,376,3.54
666830,0,0,0
666831,0,0,0
666832,0,0,0
666833,96,27,3.56
666834,96,27,3.56
666835,2045,529,3.87
668447,1173,326,3.6
668448,1648,458,3.6
668449,2835,788,3.6
668450,5541,1541,3.6
668451,5807,1615,3.6
668452,2023,562,3.6
668453,2080,578,3.6
668454,602,163,3.69
668455,1032,275,3.75
668456,4653,1238,3.76
668457,7746,2061,3.76
668458,2931,780,3.76
668459,809,215,3.76
668460,20848,5607,3.72
668461,30952,8367,3.7
668462,35597,9643,3.69
668463,40500,10972,3.69
668464,35984,9751,3.69
668465,30583,8389,3.65
668466,7119,2015,3.53
668467,5373,1528,3.52
668468,13415,3809,3.52
668469,6740,1916,3.52
668470,1725,489,3.53
668471,3982,1126,3.54
668472,1129,319,3.54
668473,383,108,3.55
668474,96,27,3.56
668475,96,27,3.56
668476,958,271,3.54
668477,407,111,3.67
670089,677,188,3.6
670090,316,88,3.59
670091,586,163,3.6
670092,1757,489,3.59
670093,1676,466,3.6
670094,474,132,3.59
670095,23,6,3.83
670096,660,184,3.59
670097,0,0,0
670098,890,237,3.76
670099,8431,2244,3.76
670100,12768,3398,3.76
670101,5411,1451,3.73
670102,19535,5267,3.71
670103,29420,7956,3.7
670104,34563,9363,3.69
670105,37057,10039,3.69
670106,34259,9281,3.69
670107,29394,8024,3.66
670108,22351,6176,3.62
670109,13496,3835,3.52
670110,12455,3541,3.52
670111,7829,2226,3.52
670112,5854,1660,3.53
670113,6376,1803,3.54
670114,1963,555,3.54
670115,1149,325,3.54
670116,1734,490,3.54
670117,192,54,3.56
670118,669,175,3.82
670119,3691,954,3.87
671731,2210,615,3.59
671732,3372,938,3.59
671733,1517,422,3.59
671734,1462,407,3.59
671735,3515,978,3.59
671736,2506,697,3.6
671737,203,56,3.62
671738,518,144,3.6
671739,1663,462,3.6
671740,355,98,3.62
671741,0,0,0
671742,2500,665,3.76
671743,19709,5312,3.71
671744,24486,6590,3.72
671745,29931,8017,3.73
